timestamp, temperature_gpu, power_draw_w, power_limit_w, utilization_gpu, utilization_memory, memory_used_mib, memory_free_mib, clocks_throttle_reasons_active, clocks_current_sm_mhz, clocks_applications_graphics_mhz, clocks_current_memory_mhz, clocks_max_memory_mhz, pstate
1669272687435795980, 42, 29, 280, 0, 0, 387, 25382, 1, 300, 1350, 405, 7001, 8
1669272687463882959, 42, 29, 280, 0, 0, 393, 25376, 1, 300, 1350, 405, 7001, 8
1669272687608626163, 42, 29, 280, 0, 0, 393, 25376, 1, 300, 1350, 405, 7001, 8
1669272687637115400, 42, 29, 280, 0, 0, 393, 25376, 1, 300, 1350, 405, 7001, 8
1669272687663253438, 42, 29, 280, 0, 0, 393, 25376, 1, 300, 1350, 405, 7001, 8
1669272687689004316, 42, 29, 280, 0, 0, 393, 25376, 1, 300, 1350, 405, 7001, 8
1669272687714602385, 42, 29, 280, 0, 0, 393, 25376, 1, 300, 1350, 405, 7001, 8
1669272687744180882, 42, 29, 280, 0, 0, 393, 25376, 1, 300, 1350, 405, 7001, 8
1669272687770550382, 42, 29, 280, 0, 0, 393, 25376, 1, 300, 1350, 405, 7001, 8
1669272687796397278, 42, 29, 280, 0, 0, 393, 25376, 1, 300, 1350, 405, 7001, 8
1669272687824710228, 42, 29, 280, 0, 0, 393, 25376, 1, 300, 1350, 405, 7001, 8
1669272687850598655, 42, 29, 280, 0, 0, 393, 25376, 1, 300, 1350, 405, 7001, 8
1669272687878799368, 42, 29, 280, 0, 0, 393, 25376, 1, 300, 1350, 405, 7001, 8
1669272687906641483, 42, 29, 280, 0, 0, 393, 25376, 0, 1350, 1350, 7000, 7001, 0
1669272687967782809, 42, 36, 280, 0, 0, 395, 25373, 0, 1350, 1350, 7000, 7001, 0
1669272687988540259, 42, 36, 280, 0, 0, 396, 25372, 0, 1350, 1350, 7000, 7001, 0
1669272688006348908, 42, 36, 280, 0, 0, 401, 25368, 0, 1350, 1350, 7000, 7001, 0
1669272688026243421, 42, 36, 280, 0, 0, 401, 25368, 0, 1350, 1350, 7000, 7001, 0
1669272688043219693, 42, 36, 280, 0, 0, 428, 25341, 0, 1350, 1350, 7000, 7001, 0
1669272688066149327, 42, 63, 280, 0, 0, 430, 25339, 0, 1350, 1350, 7000, 7001, 0
1669272688086708176, 43, 63, 280, 1, 0, 549, 25219, 0, 1350, 1350, 6500, 7001, 2
1669272688119208311, 43, 63, 280, 1, 0, 558, 25211, 0, 1350, 1350, 6500, 7001, 2
1669272688137571997, 43, 63, 280, 1, 0, 558, 25211, 0, 1350, 1350, 6500, 7001, 2
1669272688156025657, 43, 63, 280, 1, 0, 558, 25211, 0, 1350, 1350, 6500, 7001, 2
1669272688173961486, 43, 68, 280, 1, 0, 558, 25211, 0, 1350, 1350, 6500, 7001, 2
1669272688192291968, 43, 68, 280, 1, 0, 558, 25211, 0, 1350, 1350, 6500, 7001, 2
